2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@60fa3495
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@60fa3495
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1849db1a
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@533b266e
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@5b6813df
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@5b6813df
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@1e044120
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1e044120
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@4b6579e8
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4b6579e8
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@72ccd81a
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@72ccd81a
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2f162cc0
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2f162cc0
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@71c5b236
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@71c5b236
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7859e786
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7859e786
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4a3e3e8b
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4a3e3e8b
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6e9319f
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6e9319f
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@209775a9
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@209775a9
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@8a589a2
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@8a589a2
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@29cfd92b
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@29cfd92b
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@29cfd92b
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@460f76a6
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@74bdc168
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@74bdc168
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@74bdc168
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@7cbee484
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@4b6166aa
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@2baa8d82
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2baa8d82
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@4cc76301
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@4cc76301
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5dcbb60
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5dcbb60
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@1601e47
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1601e47
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@5990e6c5
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@5990e6c5
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@47289387
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@c9413d8
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration byte[] -> org.hibernate.type.BinaryType@c9413d8
2021-08-13 14:58:24 DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@c9413d8
